custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C2096,f,0.29,0.09,0.15,0.03,0.08,0,0,0.03,0.05,0.26,0.02,0.82,191840,27,0.56,0.39,0.05,0.01,0.44,0.14,0.06,0,0,0.35,27,1.102319772,12,15986.66667,0.891088935,eggs
C2097,f,0,0,0.4,0.47,0,0,0,0.13,0,0,0,0.27,14900,4,0.27,0.6,0.13,0.13,0,0,0,0.4,0,0.47,4,1.920653477,4,3725,0.639131056,artificialpowders
C2098,f,0,0,0,0,0,0,0.65,0,0,0.35,0,0.18,9915,2,0.35,0.65,0,0.35,0.65,0,0,0,0,0,2,2.339430318,2,4957.5,0.415777361,importedbeef
C2099,f,0.33,0,0.15,0,0.11,0,0.19,0,0,0.2,0.03,0.55,37590,11,0,0.64,0.36,0.07,0.17,0.25,0.12,0.28,0,0.11,11,1.221278714,9,4176.666667,0.689427655,bakery
C2103,f,0.06,0,0.17,0.18,0.12,0,0.14,0.06,0.04,0.18,0.05,0.82,161032,50,0.58,0.4,0.02,0.01,0.07,0.43,0.14,0,0.06,0.3,50,0.766414015,20,8051.6,0.842772764,cooky/cakes
C2104,f,0.47,0.09,0.19,0,0,0,0,0,0.11,0.13,0,0.45,35480,21,0,0.33,0.67,0.18,0,0.21,0.08,0.03,0.29,0.21,21,1.581621894,19,1867.368421,0.513211076,fermentedmilk
C2105,m,1,0,0,0,0,0,0,0,0,0,0,0.09,990,1,1,0,0,0,0,0,0,0,0,1,1,3.31662479,1,990,0,fermentedmilk
C2106,f,0,0,0.54,0.21,0.18,0,0,0.04,0,0.04,0,0.45,57470,9,0.44,0.36,0.21,0,0.27,0.34,0,0.23,0.16,0,9,1.832113541,6,9578.333333,0.371709957,bottledfoods
C2107,m,0.54,0.3,0,0,0,0,0,0,0,0,0.16,0.27,8080,3,1,0,0,0,0,0,0,1,0,0,3,1.964517121,1,8080,0,beans
C2108,f,0,0,0,1,0,0,0,0,0,0,0,0.09,11490,2,0,1,0,0.43,0,0,0.57,0,0,0,2,3.31662479,2,5745,0.185854002,banana/importedfruits
C2110,m,0,0.21,0,0,0,0,0,0,0,0.79,0,0.18,6100,2,0,0,1,0,0,0,0,0,1,0,2,2.63471746,1,6100,0,cereals
C2111,m,0,0,0,1,0,0,0,0,0,0,0,0.09,29700,2,0,0.33,0.67,0,1,0,0,0,0,0,2,3.31662479,1,29700,0,pear/kiwi/grape
C2112,f,0,0,0,0,0,0,0.43,0,0.57,0,0,0.18,17424,2,0,1,0,0,0,0,0.43,0,0,0.57,2,2.25,2,8712,0.192847304,importedbeef
C2114,f,0.09,0.13,0.12,0,0.11,0.08,0.02,0.09,0.17,0.18,0,0.82,93280,27,0.33,0.67,0,0.18,0.13,0.27,0.07,0.36,0,0,27,0.691367886,11,8480,0.618409539,chilledseafood
C2115,f,0.41,0,0.11,0,0.27,0,0.07,0.03,0.04,0.07,0.01,0.73,74711,26,0.56,0.44,0,0.02,0,0.37,0.38,0.05,0.04,0.14,26,1.436397042,17,4394.764706,0.754428926,fermentedmilk
C2116,m,0,0,0,0,0,0,0,0,1,0,0,0.09,3990,1,0,1,0,0,0,0,1,0,0,0,1,3.31662479,1,3990,0,processeddriedfish
C2117,m,0.37,0,0,0.63,0,0,0,0,0,0,0,0.18,9580,2,0,0,1,0,1,0,0,0,0,0,2,2.308615485,1,9580,0,apple/sweetmelon
C2118,f,0.01,0,0.39,0,0.34,0,0.14,0,0,0.12,0,0.45,98160,23,0.41,0.21,0.38,0.13,0.44,0.14,0.03,0.21,0.06,0,23,1.588115642,19,5166.315789,1.351613261,instantfoods
C2119,f,0.75,0.25,0,0,0,0,0,0,0,0,0,0.18,7260,2,0,1,0,0,0,0,0,0,1,0,2,2.553702366,1,7260,0,harddrinks
